pot.ID,treatment,variety,num.dead,num.pupae,perc.pupated,total.out,num.infect,num.bb.infect,num.met.infect,perc.inf.total,perc.bb.total,perc.met.total,perc.epf.inf
C+1,Control,Cochise,3,1,25,4,1,0,1,25.00,0.00,25.00,25
C+2,Control,Cochise,7,0,0,7,5,0,1,71.43,0.00,14.29,14.28571429
C+3,Control,Cochise,8,0,0,8,6,0,4,75.00,0.00,50.00,50
C+4,Control,Cochise,8,0,0,8,2,0,1,25.00,0.00,12.50,12.5
C+5,Control,Cochise,7,0,0,7,2,0,1,28.57,0.00,14.29,14.28571429
C+6,Control,Cochise,6,1,14.28571429,7,1,0,1,14.29,0.00,14.29,14.28571429
C-1,Control,Armani,8,0,0,8,2,0,0,25.00,0.00,0.00,0
C-2,Control,Armani,5,0,0,5,3,0,3,60.00,0.00,60.00,60
C-3,Control,Armani,9,0,0,9,2,0,0,22.22,0.00,0.00,0
C-4,Control,Armani,10,0,0,10,6,0,5,60.00,0.00,50.00,50
C-5,Control,Armani,9,0,0,9,4,0,1,44.44,0.00,11.11,11.11111111
C-6,Control,Armani,6,1,14.28571429,7,3,0,0,42.86,0.00,0.00,0
10M+1,10Met,Cochise,6,0,0,6,4,0,0,66.67,0.00,0.00,0
10M+2,10Met,Cochise,9,0,0,9,2,0,1,22.22,0.00,11.11,11.11111111
10M+3,10Met,Cochise,5,1,16.66666667,6,1,0,0,16.67,0.00,0.00,0
10M+4,10Met,Cochise,7,0,0,7,5,0,5,71.43,0.00,71.43,71.42857143
10M+5,10Met,Cochise,10,0,0,10,2,0,1,20.00,0.00,10.00,10
10M+6,10Met,Cochise,9,1,10,10,4,0,0,40.00,0.00,0.00,0
10M-1,10Met,Armani,7,0,0,7,5,0,3,71.43,0.00,42.86,42.85714286
10M-2,10Met,Armani,10,0,0,10,2,0,1,20.00,0.00,10.00,10
10M-3,10Met,Armani,10,0,0,10,4,0,1,40.00,0.00,10.00,10
10M-4,10Met,Armani,8,0,0,8,5,0,4,62.50,0.00,50.00,50
10M-5,10Met,Armani,6,2,25,8,3,0,2,37.50,0.00,25.00,25
10M-6,10Met,Armani,10,0,0,10,9,0,0,90.00,0.00,0.00,0
10B+1,10Bb,Cochise,8,0,0,8,5,0,2,62.50,0.00,25.00,25
10B+2,10Bb,Cochise,5,1,16.66666667,6,5,0,0,83.33,0.00,0.00,0
10B+3,10Bb,Cochise,7,1,12.5,8,5,0,3,62.50,0.00,37.50,37.5
10B+4,10Bb,Cochise,9,0,0,9,3,0,0,33.33,0.00,0.00,0
10B+5,10Bb,Cochise,8,0,0,8,6,0,3,75.00,0.00,37.50,37.5
10B+6,10Bb,Cochise,6,0,0,6,0,0,0,0.00,0.00,0.00,0
10B-1,10Bb,Armani,10,0,0,10,4,0,1,40.00,0.00,10.00,10
10B-2,10Bb,Armani,9,0,0,9,2,0,0,22.22,0.00,0.00,0
10B-3,10Bb,Armani,7,0,0,7,2,0,1,28.57,0.00,14.29,14.28571429
10B-4,10Bb,Armani,4,2,33.33333333,6,2,0,2,33.33,0.00,33.33,33.33333333
10B-5,10Bb,Armani,8,1,11.11111111,9,3,0,0,33.33,0.00,0.00,0
10B-6,10Bb,Armani,8,0,0,8,3,0,3,37.50,0.00,37.50,37.5